round,client,trust
29,15,0.020477919969717328
29,16,0.061548219175885654
29,17,0.020477919969718865
29,18,0.006466711569385526
29,19,0.0204779199697183
30,0,0.0314962384759654
30,1,0.016902756378537043
30,2,0.09168353753922243
30,3,0.0053377125405912
30,4,0.08893042399973985
30,5,0.016902756378537186
30,6,0.06274759355244659
30,7,0.01690275637853601
30,8,0.03603281192717859
30,9,0.016902756378517778
30,10,0.016902756378503962
30,11,0.06582047738286669
30,12,0.07849177642859764
30,13,0.12963420538567233
30,14,0.08962811655123627
30,15,0.1326941586758493
30,16,0.06384594035007003
30,17,0.016902756378536932
30,18,0.0053377125405912
30,19,0.0169027563785367
31,0,0.026026456540160853
31,1,0.11471242731537341
31,2,0.07713381334133479
31,3,0.015201539557848772
31,4,0.07941957822769458
31,5,0.11986125601475224
31,6,0.058169208111661555
31,7,0.015201539557847523
31,8,0.037203970469501677
31,9,0.004800486176163227
31,10,0.004800486176163227
31,11,0.09907133672310066
31,12,0.07650952796783154
31,13,0.01520153955784711
31,14,0.0920851235341946
31,15,0.015201539557847614
31,16,0.07729689825243721
31,17,0.05210124718398784
31,18,0.004800486176163227
31,19,0.015201539557848283
32,0,0.018035357666238407
32,1,0.018035357666238636
32,2,0.11004099197023497
32,3,0.005695376105128996
32,4,0.11049741609647107
32,5,0.081764672811024
32,6,0.11384295444673087
32,7,0.018035357666238785
32,8,0.1037514146089237
32,9,0.005695376105128996
32,10,0.005695376105128996
32,11,0.08928888807322113
32,12,0.07231312720296842
32,13,0.005695376105128996
32,14,0.03286534424851394
32,15,0.1394590287185992
32,16,0.02752249296618828
32,17,0.018035357666239208
32,18,0.005695376105128996
32,19,0.018035357666239617
33,0,0.016511130815402352
33,1,0.122667947898509
33,2,0.08405581624430263
33,3,0.005214041310127874
33,4,0.08325481612021579
33,5,0.08081992910129884
33,6,0.08687836939593406
33,7,0.01651113081540266
33,8,0.0373453820256391
33,9,0.016511130815368678
33,10,0.005214041310127874
33,11,0.10812703316582528
33,12,0.07175511410160437
33,13,0.005214041310127874
33,14,0.12529286647719387
33,15,0.01651113081540279
33,16,0.07987977533632334
33,17,0.016511130815401967
33,18,0.005214041310127874
33,19,0.01651113081540297
34,0,0.01910669050579323
34,1,0.019106690505794024
34,2,0.09987573618934933
34,3,0.006033691738672405
34,4,0.10044990851004185
34,5,0.019106690505794104
34,6,0.08680965775259064
34,7,0.019106690505793205
34,8,0.04497356107815644
34,9,0.019106690505786658
34,10,0.006033691738672405
34,11,0.11175078141803335
34,12,0.10026864031370195
34,13,0.019106690505788216
34,14,0.11382674181999083
34,15,0.13891068438256493
34,16,0.01910669050579292
34,17,0.019106690505793878
34,18,0.019106690505794128
34,19,0.019106690505793805
35,0,0.017571003583232745
35,1,0.10488078168828395
35,2,0.10062659553631152
35,3,0.005548737973653376
35,4,0.08709727187647266
35,5,0.1012566390345137
35,6,0.08607538814730928
35,7,0.017571003583233314
35,8,0.043455645244681665
35,9,0.017571003583224026
35,10,0.005548737973653376
35,11,0.10197168605594657
35,12,0.07999664839923039
35,13,0.017571003583228845
35,14,0.04510214263529973
35,15,0.01757100358323362
35,16,0.08648125745457547
35,17,0.04098370850675146
35,18,0.005548737973653376
35,19,0.01757100358323367
36,0,0.02034152687546662
36,1,0.020341526875467936
36,2,0.10584919692809514
36,3,0.006423640065937862
36,4,0.10011561959203653
36,5,0.020341526875467936
36,6,0.09174490145219809
36,7,0.020341526875466996
36,8,0.04358880348152203
36,9,0.02034152687543204
36,10,0.006423640065937862
36,11,0.10063774328291068
36,12,0.0991192986859186
36,13,0.020341526875466746
36,14,0.07187300177408805
36,15,0.12578660717913306
36,16,0.020341526875467753
36,17,0.07928169242225948
36,18,0.006423640065937862
36,19,0.020341526875467513
