round,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,mean,std
57,0.0127142522524131,0.0431158009516815,0.1003756756769522,0.0040150270270783,0.0517488555997684,0.0611235548347224,0.1003756756769361,0.0127142522524131,0.0745268780449776,0.0127142522523827,0.0040150270270783,0.0787857335715263,0.0454372356715638,0.0127142522523654,0.1034376052487329,0.0864953598682665,0.067539548763503,0.1027225085226123,0.0127142522524111,0.0127142522524132,0.049999999999989914,0.03643212291249969
58,0.0215796081564468,0.0938731232066316,0.170365327550907,0.0068146131020368,0.0792886798369025,0.0393884545066373,0.071859662359204,0.021579608156447,0.0610057779154986,0.0215796081562866,0.0068146131020368,0.1122103056155267,0.0761551200662805,0.0215796081564454,0.0524361451189131,0.0215796081564476,0.0215796081564467,0.0571513123676684,0.0215796081564479,0.0215796081564472,0.04999999999998292,0.04048768938340515
59,0.0137844550516602,0.058711500241636,0.1088246451446924,0.004352985805788,0.0582032712493163,0.0727142231239205,0.0595838703999333,0.0137844550516603,0.0688424497048807,0.0137844550516068,0.004352985805788,0.0636538819964196,0.0402903465025516,0.0137844550516511,0.0962449791196631,0.1076356001880315,0.0733832796149966,0.1004992507922655,0.013784455051659,0.0137844550516604,0.04999999999998904,0.03566592185517114
60,0.0195676418211496,0.1038738393009295,0.1544813827985596,0.0061792553119428,0.0574845847226724,0.0869581041353628,0.1007431472389587,0.0195676418211496,0.1115017614560035,0.0195676418211235,0.0061792553119428,0.1011283889697426,0.0301554644743117,0.0195676418211492,0.0195676418211494,0.0195676418211497,0.065206039888944,0.0195676418211492,0.0195676418211492,0.0195676418211503,0.049999999999984515,0.0430190751778326
61,0.0171490421474532,0.0171490421474543,0.135387174848327,0.0054154869939335,0.0659026505944676,0.0766134951236086,0.0601798872677083,0.0171490421474537,0.037122928915938,0.0171490421474282,0.0054154869939335,0.075782520577232,0.0171490421474528,0.017149042147453,0.1331832451919281,0.1267693865513463,0.0171490421474535,0.1238863576142512,0.0171490421474514,0.0171490421474541,0.049999999999986416,0.0453578773748745
62,0.0185654684682867,0.1242696372010853,0.1465694879075352,0.0058627795163018,0.046277993850275,0.0185654684682875,0.0764874652718441,0.0185654684682872,0.1449587438391321,0.0185654684682625,0.0058627795163018,0.0913025507622221,0.0185654684682864,0.0185654684682752,0.0818545526752267,0.0185654684682874,0.0908993247769486,0.0185654684682864,0.0185654684682867,0.0185654684682873,0.0499999999999853,0.046230456068250714
63,0.0171094305564185,0.0171094305564194,0.1350744517612102,0.0054029780704488,0.0762211427819852,0.0978631012037901,0.0860356741570179,0.0171094305564192,0.0318803375341309,0.0171094305564055,0.0054029780704488,0.0749031114327916,0.0171094305564184,0.0171094305564046,0.112945776337597,0.1259310225383006,0.0339604823944541,0.0775034992662333,0.0171094305564155,0.0171094305564193,0.04999999999998645,0.04233004181600039
64,0.0193021562940817,0.1368303218586541,0.1523854444269682,0.0060954177770792,0.0858043368805915,0.0193021562940823,0.0782135460096968,0.0193021562940821,0.1393101155224024,0.0193021562940208,0.0060954177770792,0.0945097316719321,0.0193021562940814,0.0193021562940756,0.0193021562940812,0.0193021562940823,0.0884319488404585,0.0193021562940813,0.0193021562940816,0.0193021562940819,0.0499999999999847,0.04783086072441028
65,0.0198437335167789,0.0198437335167804,0.1566610540798488,0.0062664421631944,0.0705665854951901,0.0985868936742686,0.074615127202386,0.0198437335167799,0.0326772939746308,0.0198437335167748,0.0062664421631944,0.093003905282259,0.0198437335167794,0.0198437335167755,0.1359944106062632,0.1251151826234225,0.0216530610840271,0.019843733516779,0.0198437335167729,0.01984373351678,0.049999999999984286,0.04624191698664513
66,0.0173518902395494,0.1169132048810828,0.1369886071543439,0.0054795442861741,0.0547645176348808,0.0173518902395498,0.0695328065265453,0.0173518902395496,0.1109779685521521,0.0173518902395289,0.0054795442861741,0.0744475744184592,0.0173518902395492,0.0173518902395402,0.0718868665808162,0.0173518902395495,0.0873741302414465,0.1099882232817348,0.0173518902395492,0.0173518902395496,0.049999999999986264,0.042306207304448826
67,0.0206823834975123,0.0206823834975131,0.1632819749803716,0.0065312789992153,0.0921555424574863,0.1198255251124824,0.1114311341867258,0.020682383497513,0.0449776506221772,0.0206823834975043,0.0065312789992153,0.1064287289036842,0.0206823834975124,0.0065312789992153,0.1354817717639832,0.0206823834975116,0.0206823834975131,0.0206823834975125,0.0206823834975107,0.0206823834975128,0.04999999999998363,0.04901002859268193
68,0.0160556183777542,0.1073089675295358,0.1267548819296486,0.0050701952771863,0.0452786164496031,0.0160556183777551,0.0604357097844021,0.0160556183777548,0.1197591358942282,0.0160556183777435,0.0050701952771863,0.0731370671983796,0.0160556183777543,0.0160556183777485,0.0160556183777544,0.1096909856123204,0.0823251568454361,0.1206685228020449,0.0160556183777546,0.0160556183777549,0.049999999999987284,0.04399876124489658
69,0.0187509288769282,0.0187509288769277,0.1480336490283894,0.005921345961136,0.0789689865010326,0.0880406643340618,0.0985401201767031,0.0187509288769288,0.0455795184689848,0.0187509288769098,0.005921345961136,0.0838230862255625,0.018750928876928,0.005921345961136,0.1513266516903074,0.0187509288769289,0.0406130392584011,0.0973028154174464,0.0187509288769256,0.0187509288769287,0.04999999999998515,0.045634502443039356
